IUCR_Code,IUCR_cat,HOURLYTemp,ID-count
3,ROBBERY,-7,14
3,ROBBERY,-6,11
3,ROBBERY,-5,14
3,ROBBERY,-4,6
3,ROBBERY,-3,20
3,ROBBERY,-2,23
3,ROBBERY,-1,32
3,ROBBERY,0,26
3,ROBBERY,1,59
3,ROBBERY,2,89
3,ROBBERY,3,60
3,ROBBERY,4,109
3,ROBBERY,5,78
3,ROBBERY,6,69
3,ROBBERY,7,81
3,ROBBERY,8,72
3,ROBBERY,9,68
3,ROBBERY,10,70
3,ROBBERY,11,97
3,ROBBERY,12,106
3,ROBBERY,13,108
3,ROBBERY,14,129
3,ROBBERY,15,121
3,ROBBERY,16,131
3,ROBBERY,17,150
3,ROBBERY,18,182
3,ROBBERY,19,238
3,ROBBERY,20,186
3,ROBBERY,21,205
3,ROBBERY,22,171
3,ROBBERY,23,215
3,ROBBERY,24,209
3,ROBBERY,25,281
3,ROBBERY,26,321
3,ROBBERY,27,394
3,ROBBERY,28,349
3,ROBBERY,29,361
3,ROBBERY,30,500
3,ROBBERY,31,565
3,ROBBERY,32,675
3,ROBBERY,33,557
3,ROBBERY,34,645
3,ROBBERY,35,545
3,ROBBERY,36,603
3,ROBBERY,37,637
3,ROBBERY,38,650
3,ROBBERY,39,569
3,ROBBERY,40,683
3,ROBBERY,41,564
3,ROBBERY,42,535
3,ROBBERY,43,535
3,ROBBERY,44,518
3,ROBBERY,45,556
3,ROBBERY,46,518
3,ROBBERY,47,542
3,ROBBERY,48,541
3,ROBBERY,49,451
3,ROBBERY,50,549
3,ROBBERY,51,398
3,ROBBERY,52,445
3,ROBBERY,53,449
3,ROBBERY,54,413
3,ROBBERY,55,466
3,ROBBERY,56,460
3,ROBBERY,57,542
3,ROBBERY,58,417
3,ROBBERY,59,508
3,ROBBERY,60,614
3,ROBBERY,61,570
3,ROBBERY,62,535
3,ROBBERY,63,646
3,ROBBERY,64,596
3,ROBBERY,65,721
3,ROBBERY,66,650
3,ROBBERY,67,794
3,ROBBERY,68,749
3,ROBBERY,69,699
3,ROBBERY,70,722
3,ROBBERY,71,671
3,ROBBERY,72,656
3,ROBBERY,73,690
3,ROBBERY,74,632
