d_date,IUCR_Code,ID-count,Bin1-sum,Bin2-sum,Bin3-sum,Bin4-sum,Bin5-sum
1/13/2018,8,31,31,0,0,0,0
1/13/2018,9,133,133,0,0,0,0
1/13/2018,10,35,35,0,0,0,0
1/13/2018,11,1,1,0,0,0,0
1/13/2018,13,48,48,0,0,0,0
1/13/2018,14,77,77,0,0,0,0
1/13/2018,15,10,10,0,0,0,0
1/13/2018,19,3,3,0,0,0,0
1/13/2018,20,26,26,0,0,0,0
1/13/2018,21,1,1,0,0,0,0
1/13/2018,22,47,47,0,0,0,0
1/14/2015,1,1,1,0,0,0,0
1/14/2015,2,4,4,0,0,0,0
1/14/2015,3,26,26,0,0,0,0
1/14/2015,4,99,99,0,0,0,0
1/14/2015,6,32,32,0,0,0,0
1/14/2015,8,54,54,0,0,0,0
1/14/2015,9,133,133,0,0,0,0
1/14/2015,10,36,36,0,0,0,0
1/14/2015,11,1,1,0,0,0,0
1/14/2015,12,1,1,0,0,0,0
1/14/2015,13,35,35,0,0,0,0
1/14/2015,14,75,75,0,0,0,0
1/14/2015,15,6,6,0,0,0,0
1/14/2015,16,2,2,0,0,0,0
1/14/2015,17,2,2,0,0,0,0
1/14/2015,19,7,7,0,0,0,0
1/14/2015,20,101,101,0,0,0,0
1/14/2015,21,1,1,0,0,0,0
1/14/2015,22,58,58,0,0,0,0
1/14/2016,1,1,0,0,1,0,0
1/14/2016,2,5,0,2,3,0,0
1/14/2016,3,28,0,6,22,0,0
1/14/2016,4,137,0,38,99,0,0
1/14/2016,6,49,0,13,36,0,0
1/14/2016,8,55,0,25,30,0,0
1/14/2016,9,152,0,43,109,0,0
1/14/2016,10,26,0,7,19,0,0
1/14/2016,11,3,0,1,2,0,0
1/14/2016,13,54,0,20,34,0,0
1/14/2016,14,102,0,30,72,0,0
1/14/2016,15,4,0,0,4,0,0
1/14/2016,16,5,0,0,5,0,0
1/14/2016,17,6,0,2,4,0,0
1/14/2016,19,8,0,3,5,0,0
1/14/2016,20,49,0,14,35,0,0
1/14/2016,22,49,0,13,36,0,0
1/14/2017,1,3,0,3,0,0,0
1/14/2017,2,6,0,6,0,0,0
1/14/2017,3,32,0,32,0,0,0
1/14/2017,4,119,0,119,0,0,0
1/14/2017,6,48,0,48,0,0,0
1/14/2017,8,26,0,26,0,0,0
1/14/2017,9,136,0,136,0,0,0
1/14/2017,10,40,0,40,0,0,0
1/14/2017,11,3,0,3,0,0,0
1/14/2017,13,48,0,48,0,0,0
1/14/2017,14,96,0,96,0,0,0
1/14/2017,15,14,0,14,0,0,0
1/14/2017,16,8,0,8,0,0,0
1/14/2017,17,3,0,3,0,0,0
1/14/2017,19,5,0,5,0,0,0
1/14/2017,20,38,0,38,0,0,0
1/14/2017,21,1,0,1,0,0,0
1/14/2017,22,56,0,56,0,0,0
1/14/2018,1,1,1,0,0,0,0
1/14/2018,2,2,1,1,0,0,0
1/14/2018,3,32,24,8,0,0,0
1/14/2018,4,137,113,24,0,0,0
1/14/2018,6,33,22,11,0,0,0
1/14/2018,8,18,15,3,0,0,0
1/14/2018,9,117,71,46,0,0,0
1/14/2018,10,30,21,9,0,0,0
1/14/2018,11,1,1,0,0,0,0
1/14/2018,13,29,19,10,0,0,0
1/14/2018,14,76,54,22,0,0,0
1/14/2018,15,13,10,3,0,0,0
1/14/2018,17,1,1,0,0,0,0
1/14/2018,19,5,3,2,0,0,0
1/14/2018,20,22,17,5,0,0,0
1/14/2018,22,42,27,15,0,0,0
1/15/2015,2,5,0,5,0,0,0
1/15/2015,3,33,4,29,0,0,0
1/15/2015,4,98,13,85,0,0,0
1/15/2015,6,38,3,35,0,0,0
1/15/2015,8,57,9,48,0,0,0
1/15/2015,9,164,18,146,0,0,0
1/15/2015,10,30,7,23,0,0,0
1/15/2015,11,1,1,0,0,0,0
1/15/2015,13,44,5,39,0,0,0
1/15/2015,14,81,18,63,0,0,0
1/15/2015,15,14,1,13,0,0,0
1/15/2015,16,3,2,1,0,0,0
1/15/2015,17,3,0,3,0,0,0
1/15/2015,19,7,1,6,0,0,0
1/15/2015,20,130,11,119,0,0,0
1/15/2015,21,2,0,2,0,0,0
1/15/2015,22,50,5,45,0,0,0
1/15/2016,1,1,0,0,1,0,0
1/15/2016,2,1,0,1,0,0,0
1/15/2016,3,37,0,28,9,0,0
1/15/2016,4,149,0,102,47,0,0
1/15/2016,6,41,0,28,13,0,0
1/15/2016,7,1,0,1,0,0,0
1/15/2016,8,43,0,27,16,0,0
1/15/2016,9,168,0,124,44,0,0
1/15/2016,10,36,0,22,14,0,0
1/15/2016,11,1,0,1,0,0,0
1/15/2016,13,54,0,36,18,0,0
1/15/2016,14,89,0,61,28,0,0
1/15/2016,15,9,0,8,1,0,0
1/15/2016,16,8,0,8,0,0,0
1/15/2016,17,3,0,2,1,0,0
